,EventTemplate
0,0
1,ts-cancel-service GET:/api/v1/cancelservice/cancel/{orderId}/{loginId} start
2,<:PREFIX:> INFO cancel.service.CancelServiceImpl -[getAccount][Get By Id][orderId: <:ORDER ID:>]
3,<:PREFIX:> INFO cancel.service.CancelServiceImpl -[cancelOrder][Draw Back Money Success]
4,<:PREFIX:> INFO cancel.service.CancelServiceImpl -[cancelOrder][Cancel Order Success]
5,<:PREFIX:> INFO cancel.service.CancelServiceImpl -[cancelOrder][Cancel Order, Order found G|H]
6,<:PREFIX:> INFO cancel.service.CancelServiceImpl -[getOrderByIdFromOrder][Get Order][orderId: <:ORDER ID:>]
7,<:PREFIX:> INFO cancel.controller.CancelController -[cancelTicket][Cancel Ticket, Verify Success]
8,<:PREFIX:> INFO cancel.controller.CancelController -[cancelTicket][Cancel Ticket][info: <:ORDER ID:>]
9,ts-cancel-service GET:/api/v1/cancelservice/cancel/{orderId}/{loginId} end
10,ts-cancel-service SpringAsync start
11,<:PREFIX:> INFO cancel.async.AsyncTask -[drawbackMoney][Draw Back Money]
12,ts-cancel-service SpringAsync end
13,ts-cancel-service /api/v1/inside pay service/inside payment/drawback/<:ORDER ID:>/0.00 <:*:>
14,<:PREFIX:> INFO c.n.l.DynamicServerListLoadBalancer -DynamicServerListLoadBalancer for client <:*:> initialized: <:*:> list of <:*:> balancer stats=Zone stats: {unknown=[Zone:unknown; Instance count:1; Active connections count: 0; Circuit breaker tripped count: 0; Active connections per server: 0.0;] },Server stats: <:*:> Zone:UNKNOWN; Total Requests:0; Successive connection failure:0; Total blackout seconds:0; Last connection made:Thu Jan 01 08:00:00 CST 1970; First connection made: Thu Jan 01 08:00:00 CST 1970; Active Connections:0; total failure count in last (1000) msecs:0; average resp time:0.0; 90 percentile resp time:0.0; 95 percentile resp time:0.0; min resp time:0.0; max resp time:0.0; stddev resp time:0.0] <:*:>
15,<:PREFIX:> INFO c.n.config.ChainedDynamicProperty -Flipping property: <:*:> to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
16,<:PREFIX:> INFO c.n.l.DynamicServerListLoadBalancer -Using serverListUpdater PollingServerListUpdater
17,<:PREFIX:> INFO c.n.loadbalancer.BaseLoadBalancer -Client: <:*:> instantiated a LoadBalancer: <:*:> list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
18,ts-inside-payment-service GET:/api/v1/inside pay service/inside payment/drawback/{userId}/{money} <:*:>
19,<:PREFIX:> INFO i.controller.InsidePaymentController -[drawBack][draw back payment][userId: <:ORDER ID:>, money: 0.00]
20,ts-inside-payment-service HikariCP/Connection/getConnection start
21,ts-inside-payment-service HikariCP/Connection/getConnection end
22,ts-inside-payment-service Mysql/JDBI/PreparedStatement/executeQuery start
23,ts-inside-payment-service Mysql/JDBI/PreparedStatement/executeQuery end
24,ts-inside-payment-service Mysql/JDBI/PreparedStatement/executeUpdate start
25,ts-inside-payment-service Mysql/JDBI/PreparedStatement/executeUpdate end
26,ts-inside-payment-service Mysql/JDBI/Connection/commit start
